exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
pants,1.0,1.0,1.0,1.0,1.0,2.0,6.0,9.0,6.0,15.0,1.0,20.0,9.0,5.0,20.0,9.0,18.0,1.0,10.0,1.0,19.0,15.0,15.0,10.0,9.0,5.0,8.0,11.0,19.0
pullover,1.0,5.0,11.0,11.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,9.0,1.0,9.0,20.0,8.0,9.0,14.0,5.0,1.0,1.0,1.0,1.0,18.0,1.0,6.0,9.0,14.0
pyjamas,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,14.0,2.0,2.0,1.0,1.0,18.0,8.0,20.0,1.0,15.0,1.0,14.0,1.0,9.0,2.0,2.0,11.0,2.0,10.0,11.0
scarf,15.0,14.0,10.0,1.0,8.0,5.0,14.0,18.0,5.0,15.0,14.0,2.0,11.0,2.0,1.0,9.0,1.0,20.0,5.0,9.0,5.0,9.0,9.0,2.0,9.0,1.0,10.0,5.0,14.0
shirt,1.0,5.0,9.0,16.0,5.0,4.0,1.0,10.0,9.0,5.0,5.0,1.0,5.0,1.0,10.0,14.0,15.0,5.0,20.0,4.0,1.0,1.0,1.0,16.0,1.0,16.0,5.0,9.0,5.0
shoes,1.0,1.0,14.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,15.0,2.0,1.0,5.0,1.0,9.0,4.0,20.0,1.0,1.0,18.0,5.0,1.0,1.0,1.0,2.0,15.0
shorts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,9.0,18.0,4.0,5.0,19.0,1.0,14.0,5.0,1.0,1.0,20.0,15.0,5.0,10.0,9.0,12.0,5.0,11.0,18.0
skirt,2.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,18.0,11.0,9.0,15.0,5.0,1.0,15.0,1.0,1.0,9.0,1.0,1.0,15.0,20.0,5.0,6.0,1.0,1.0,1.0,9.0,1.0
socks,1.0,1.0,5.0,1.0,14.0,18.0,2.0,2.0,1.0,5.0,15.0,1.0,11.0,9.0,15.0,1.0,9.0,9.0,1.0,18.0,5.0,5.0,20.0,9.0,1.0,1.0,1.0,5.0,14.0
suit,1.0,2.0,14.0,15.0,5.0,5.0,2.0,14.0,18.0,10.0,15.0,10.0,1.0,5.0,10.0,1.0,2.0,2.0,16.0,5.0,10.0,6.0,9.0,20.0,5.0,2.0,18.0,5.0,1.0
sweater,1.0,5.0,9.0,18.0,4.0,5.0,10.0,11.0,1.0,7.0,2.0,1.0,1.0,9.0,9.0,18.0,2.0,9.0,1.0,1.0,9.0,1.0,1.0,5.0,20.0,1.0,1.0,14.0,14.0
t-shirt,1.0,4.0,14.0,15.0,1.0,15.0,11.0,1.0,5.0,9.0,1.0,1.0,5.0,1.0,5.0,1.0,11.0,1.0,16.0,1.0,12.0,1.0,1.0,2.0,1.0,20.0,9.0,1.0,16.0
tie,1.0,2.0,9.0,9.0,5.0,5.0,15.0,2.0,1.0,1.0,9.0,5.0,1.0,5.0,8.0,6.0,2.0,10.0,5.0,1.0,5.0,1.0,1.0,18.0,1.0,9.0,20.0,5.0,1.0
top,14.0,1.0,15.0,15.0,5.0,9.0,1.0,8.0,5.0,5.0,1.0,5.0,1.0,1.0,11.0,9.0,10.0,5.0,9.0,2.0,11.0,9.0,5.0,5.0,14.0,1.0,5.0,20.0,17.0
tracksuit,14.0,9.0,1.0,2.0,1.0,1.0,14.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,19.0,14.0,11.0,14.0,5.0,15.0,18.0,1.0,14.0,1.0,14.0,16.0,1.0,17.0,20.0
