exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
rugby,3.0,1.0,7.0,5.0,7.0,4.0,3.0,6.0,11.0,3.0,4.0,3.0,2.0,20.0,1.0,3.0,6.0,1.0,4.0,7.0,2.0,12.0,5.0,2.0,9.0,3.0,2.0,2.0,1.0,2.0
schaken,1.0,2.0,6.0,3.0,5.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,20.0,1.0,1.0,1.0,2.0,2.0,9.0,4.0,7.0,4.0,1.0,1.0,6.0,1.0,6.0,3.0
schermen,5.0,2.0,2.0,4.0,2.0,8.0,2.0,2.0,7.0,4.0,3.0,2.0,2.0,3.0,1.0,20.0,5.0,1.0,2.0,3.0,2.0,8.0,3.0,2.0,2.0,3.0,1.0,5.0,6.0,2.0
skiën,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,5.0,4.0,1.0,4.0,6.0,1.0,5.0,20.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,7.0,2.0
sportvissen,1.0,2.0,1.0,1.0,9.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,2.0,7.0,1.0,1.0,3.0,6.0,1.0,8.0,2.0,3.0,1.0
squash,6.0,1.0,5.0,11.0,2.0,6.0,4.0,9.0,7.0,7.0,3.0,3.0,8.0,4.0,2.0,2.0,2.0,1.0,20.0,1.0,9.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0
surfen,6.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,7.0,2.0,3.0,4.0,2.0,1.0,20.0,2.0,6.0,5.0,2.0,3.0,3.0,3.0,2.0,19.0,8.0
tafeltennis,5.0,2.0,5.0,3.0,4.0,3.0,5.0,7.0,2.0,2.0,2.0,7.0,2.0,2.0,9.0,2.0,2.0,7.0,9.0,2.0,20.0,15.0,2.0,6.0,5.0,2.0,4.0,2.0,2.0,3.0
tennis,9.0,2.0,7.0,3.0,4.0,2.0,7.0,9.0,5.0,7.0,1.0,8.0,2.0,12.0,4.0,8.0,4.0,1.0,5.0,6.0,15.0,20.0,4.0,3.0,2.0,4.0,9.0,2.0,4.0,2.0
turnen,9.0,17.0,2.0,5.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,5.0,5.0,7.0,3.0,2.0,1.0,2.0,5.0,2.0,4.0,20.0,12.0,2.0,2.0,2.0,4.0,2.0,15.0
verspringen,3.0,1.0,2.0,7.0,2.0,3.0,1.0,4.0,14.0,2.0,3.0,13.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,6.0,3.0,12.0,20.0,3.0,1.0,5.0,8.0,2.0,2.0
voetbal,3.0,3.0,4.0,15.0,3.0,2.0,9.0,14.0,4.0,3.0,6.0,2.0,5.0,9.0,1.0,2.0,2.0,6.0,3.0,3.0,5.0,2.0,2.0,3.0,20.0,9.0,2.0,5.0,2.0,8.0
volleybal,7.0,2.0,9.0,10.0,1.0,5.0,5.0,15.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,9.0,20.0,1.0,2.0,2.0,2.0
wandelen,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,6.0,2.0,2.0,8.0,2.0,2.0,6.0,1.0,4.0,8.0,2.0,3.0,4.0,9.0,2.0,5.0,2.0,1.0,20.0,3.0,2.0,3.0
wielrennen,2.0,4.0,2.0,6.0,6.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,8.0,5.0,2.0,3.0,20.0,2.0,2.0
zeilen,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,6.0,2.0,7.0,1.0,6.0,6.0,7.0,3.0,2.0,19.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,10.0
zwemmen,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,8.0,3.0,2.0,15.0,2.0,8.0,2.0,3.0,2.0,10.0,20.0
