exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
oorworm,5.0,8.0,9.0,12.0,6.0,5.0,10.0,11.0,4.0,5.0,4.0,1.0,9.0,12.0,2.0,6.0,20.0,10.0,7.0,4.0,15.0,9.0,3.0,1.0,4.0,3.0
pissebed,3.0,10.0,15.0,14.0,6.0,8.0,10.0,6.0,4.0,4.0,6.0,1.0,10.0,6.0,6.0,3.0,10.0,20.0,5.0,7.0,4.0,6.0,3.0,1.0,5.0,3.0
rups,6.0,3.0,5.0,15.0,3.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,7.0,5.0,20.0,4.0,6.0,5.0,10.0,1.0,3.0,10.0
spin,4.0,7.0,5.0,6.0,3.0,5.0,5.0,4.0,4.0,15.0,4.0,1.0,7.0,3.0,14.0,11.0,4.0,7.0,4.0,20.0,13.0,6.0,4.0,3.0,5.0,3.0
sprinkhaan,5.0,6.0,9.0,11.0,3.0,4.0,5.0,4.0,6.0,16.0,4.0,1.0,5.0,2.0,6.0,10.0,15.0,4.0,6.0,13.0,20.0,8.0,5.0,1.0,5.0,2.0
vlieg,14.0,7.0,15.0,6.0,18.0,12.0,4.0,5.0,3.0,13.0,6.0,1.0,3.0,4.0,14.0,14.0,9.0,6.0,5.0,6.0,8.0,20.0,10.0,4.0,12.0,4.0
vlinder,5.0,2.0,9.0,4.0,5.0,5.0,3.0,6.0,2.0,7.0,10.0,1.0,4.0,3.0,11.0,7.0,3.0,3.0,10.0,4.0,5.0,10.0,20.0,1.0,6.0,1.0
vlo,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,20.0,1.0,1.0
wesp,16.0,5.0,9.0,2.0,9.0,18.0,5.0,4.0,3.0,6.0,3.0,2.0,5.0,3.0,4.0,10.0,4.0,5.0,3.0,5.0,5.0,12.0,6.0,1.0,20.0,2.0
worm,1.0,2.0,2.0,6.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,10.0,3.0,2.0,4.0,1.0,1.0,2.0,20.0
