exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
garlic,6.0,7.0,8.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,20.0,6.0,4.0,4.0,6.0,16.0,4.0,3.0,7.0,4.0,14.0,6.0,5.0,4.0,6.0,6.0,3.0
gherkins,8.0,4.0,12.0,7.0,8.0,6.0,5.0,6.0,6.0,4.0,15.0,9.0,5.0,6.0,20.0,5.0,6.0,3.0,7.0,11.0,7.0,6.0,9.0,8.0,6.0,4.0,5.0,6.0,5.0,14.0
leek,5.0,6.0,6.0,10.0,12.0,8.0,8.0,15.0,5.0,7.0,6.0,7.0,7.0,4.0,5.0,20.0,10.0,4.0,15.0,8.0,5.0,5.0,8.0,13.0,5.0,7.0,5.0,6.0,6.0,7.0
lettuce,15.0,4.0,7.0,6.0,3.0,7.0,7.0,8.0,6.0,6.0,8.0,4.0,8.0,4.0,6.0,10.0,20.0,3.0,4.0,8.0,4.0,5.0,6.0,7.0,7.0,15.0,6.0,10.0,15.0,6.0
mushrooms,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,3.0,4.0,3.0,20.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
onions,7.0,6.0,6.0,9.0,6.0,6.0,8.0,5.0,4.0,6.0,6.0,4.0,6.0,16.0,7.0,15.0,4.0,7.0,20.0,11.0,7.0,4.0,14.0,8.0,6.0,4.0,7.0,6.0,7.0,4.0
parsley,6.0,8.0,6.0,6.0,5.0,9.0,5.0,15.0,10.0,5.0,5.0,4.0,6.0,4.0,11.0,8.0,8.0,4.0,11.0,20.0,5.0,5.0,6.0,9.0,4.0,8.0,5.0,7.0,4.0,6.0
peas,9.0,6.0,13.0,12.0,5.0,14.0,7.0,5.0,5.0,10.0,8.0,4.0,5.0,3.0,7.0,5.0,4.0,4.0,7.0,5.0,20.0,5.0,5.0,5.0,5.0,7.0,4.0,8.0,7.0,7.0
pepper,6.0,4.0,6.0,9.0,4.0,7.0,5.0,6.0,4.0,6.0,5.0,10.0,4.0,7.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,20.0,9.0,5.0,6.0,4.0,16.0,6.0,6.0,5.0
potato,4.0,6.0,6.0,11.0,7.0,6.0,10.0,5.0,6.0,8.0,12.0,9.0,7.0,4.0,9.0,8.0,6.0,4.0,14.0,6.0,5.0,9.0,20.0,6.0,5.0,3.0,7.0,6.0,12.0,6.0
radish,12.0,5.0,6.0,11.0,5.0,12.0,6.0,6.0,9.0,4.0,3.0,7.0,13.0,14.0,8.0,13.0,7.0,4.0,8.0,9.0,5.0,5.0,6.0,20.0,9.0,5.0,6.0,9.0,7.0,6.0
red cabbage,8.0,7.0,5.0,9.0,5.0,7.0,9.0,6.0,6.0,5.0,7.0,6.0,14.0,6.0,6.0,5.0,7.0,4.0,6.0,4.0,5.0,6.0,5.0,9.0,20.0,4.0,5.0,6.0,12.0,6.0
spinach,8.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,4.0,7.0,15.0,4.0,4.0,8.0,7.0,4.0,3.0,5.0,4.0,20.0,4.0,7.0,6.0,7.0
tomato,8.0,6.0,7.0,8.0,4.0,5.0,7.0,3.0,4.0,5.0,6.0,1.0,6.0,4.0,5.0,5.0,6.0,3.0,7.0,5.0,4.0,16.0,7.0,6.0,5.0,4.0,20.0,15.0,5.0,6.0
water cress,7.0,5.0,4.0,5.0,4.0,7.0,5.0,11.0,6.0,4.0,5.0,5.0,7.0,6.0,6.0,6.0,10.0,4.0,6.0,7.0,8.0,6.0,6.0,9.0,6.0,7.0,15.0,20.0,,6.0
white cabbage,8.0,6.0,4.0,8.0,7.0,6.0,16.0,4.0,6.0,6.0,7.0,4.0,8.0,6.0,5.0,6.0,15.0,4.0,7.0,4.0,7.0,6.0,12.0,7.0,12.0,6.0,5.0,,20.0,5.0
zucchini,5.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,5.0,5.0,15.0,7.0,8.0,3.0,14.0,7.0,6.0,4.0,4.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,20.0
