exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
motorbike (brommer),5.0,4.0,14.0,5.0,9.0,5.0,4.0,9.0,10.0,9.0,5.0,4.0,4.0,20.0,17.0,6.0,15.0,8.0,7.0,6.0,6.0,8.0,8.0,7.0,10.0,7.0,7.0,8.0,4.0,2.0
motorbike (moto),7.0,5.0,15.0,4.0,4.0,15.0,5.0,6.0,8.0,10.0,8.0,6.0,8.0,17.0,20.0,2.0,17.0,7.0,8.0,4.0,7.0,8.0,4.0,4.0,4.0,8.0,8.0,9.0,5.0,8.0
rocket,13.0,12.0,8.0,5.0,7.0,8.0,6.0,8.0,9.0,10.0,15.0,4.0,4.0,6.0,2.0,20.0,5.0,7.0,5.0,15.0,7.0,6.0,4.0,5.0,9.0,3.0,2.0,7.0,5.0,8.0
scooter,3.0,2.0,17.0,7.0,6.0,10.0,7.0,8.0,11.0,6.0,4.0,7.0,8.0,15.0,17.0,5.0,20.0,2.0,4.0,7.0,7.0,6.0,8.0,7.0,6.0,9.0,7.0,6.0,14.0,5.0
skateboard,5.0,12.0,12.0,7.0,6.0,7.0,8.0,5.0,12.0,4.0,7.0,4.0,13.0,8.0,7.0,7.0,2.0,20.0,14.0,4.0,8.0,7.0,7.0,5.0,3.0,5.0,6.0,4.0,7.0,4.0
sled,7.0,5.0,7.0,7.0,8.0,4.0,13.0,16.0,9.0,3.0,8.0,5.0,10.0,7.0,8.0,5.0,4.0,14.0,20.0,5.0,3.0,8.0,12.0,13.0,4.0,9.0,6.0,5.0,4.0,4.0
submarine,15.0,14.0,4.0,14.0,9.0,8.0,7.0,4.0,3.0,13.0,13.0,2.0,7.0,6.0,4.0,15.0,7.0,4.0,5.0,20.0,11.0,1.0,4.0,8.0,5.0,5.0,5.0,2.0,4.0,11.0
subway train,1.0,6.0,6.0,5.0,12.0,3.0,8.0,5.0,7.0,1.0,4.0,6.0,4.0,6.0,7.0,7.0,7.0,8.0,3.0,11.0,20.0,4.0,4.0,8.0,17.0,13.0,9.0,7.0,8.0,2.0
taxi,10.0,9.0,6.0,5.0,9.0,15.0,15.0,9.0,4.0,4.0,9.0,6.0,4.0,8.0,8.0,6.0,6.0,7.0,8.0,1.0,4.0,20.0,4.0,9.0,9.0,11.0,8.0,7.0,8.0,4.0
tractor,2.0,5.0,8.0,7.0,8.0,9.0,10.0,13.0,9.0,8.0,6.0,13.0,7.0,8.0,4.0,4.0,8.0,7.0,12.0,4.0,4.0,4.0,20.0,6.0,7.0,3.0,8.0,8.0,9.0,6.0
trailer,8.0,1.0,2.0,7.0,11.0,3.0,4.0,8.0,8.0,8.0,4.0,8.0,5.0,7.0,4.0,5.0,7.0,5.0,13.0,8.0,8.0,9.0,6.0,20.0,7.0,7.0,6.0,7.0,6.0,8.0
train,7.0,11.0,8.0,8.0,12.0,8.0,6.0,12.0,7.0,6.0,7.0,3.0,5.0,10.0,4.0,9.0,6.0,3.0,4.0,5.0,17.0,9.0,7.0,7.0,20.0,16.0,9.0,8.0,10.0,7.0
tram,4.0,5.0,9.0,1.0,17.0,5.0,6.0,5.0,6.0,6.0,7.0,3.0,5.0,7.0,8.0,3.0,9.0,5.0,9.0,5.0,13.0,11.0,3.0,7.0,16.0,20.0,6.0,8.0,4.0,10.0
truck (camion),4.0,7.0,5.0,8.0,10.0,9.0,5.0,10.0,8.0,6.0,7.0,6.0,1.0,7.0,8.0,2.0,7.0,6.0,6.0,5.0,9.0,8.0,8.0,6.0,9.0,6.0,20.0,17.0,18.0,7.0
truck (vrachtwagen),4.0,7.0,4.0,2.0,8.0,13.0,9.0,11.0,4.0,4.0,7.0,10.0,2.0,8.0,9.0,7.0,6.0,4.0,5.0,2.0,7.0,7.0,8.0,7.0,8.0,8.0,17.0,20.0,18.0,4.0
van,4.0,9.0,2.0,8.0,5.0,8.0,7.0,12.0,5.0,6.0,4.0,10.0,5.0,4.0,5.0,5.0,14.0,7.0,4.0,4.0,8.0,8.0,9.0,6.0,10.0,4.0,18.0,18.0,20.0,6.0
zeppelin,17.0,12.0,5.0,10.0,7.0,4.0,4.0,5.0,6.0,5.0,16.0,2.0,4.0,2.0,8.0,8.0,5.0,4.0,4.0,11.0,2.0,4.0,6.0,8.0,7.0,10.0,7.0,4.0,6.0,20.0
