exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
judo,5.0,6.0,5.0,6.0,4.0,13.0,4.0,7.0,6.0,4.0,20.0,6.0,3.0,10.0,7.0,8.0,5.0,3.0,6.0,3.0,6.0,5.0,7.0,7.0,6.0,5.0,6.0,3.0,4.0,8.0
kogelstoten,9.0,4.0,6.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,6.0,20.0,5.0,9.0,3.0,7.0,4.0,3.0,6.0,7.0,6.0,10.0,6.0,6.0,8.0,8.0,5.0,3.0,4.0,6.0
paardrijden,4.0,4.0,6.0,3.0,3.0,5.0,6.0,6.0,6.0,3.0,3.0,5.0,20.0,6.0,3.0,5.0,8.0,3.0,6.0,6.0,4.0,6.0,6.0,8.0,4.0,5.0,10.0,8.0,5.0,3.0
rugby,4.0,6.0,15.0,9.0,6.0,7.0,5.0,8.0,11.0,6.0,10.0,9.0,6.0,20.0,3.0,5.0,9.0,3.0,7.0,4.0,3.0,8.0,6.0,8.0,15.0,9.0,6.0,4.0,4.0,3.0
schaken,6.0,5.0,3.0,3.0,8.0,3.0,4.0,3.0,6.0,6.0,7.0,3.0,3.0,3.0,20.0,6.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,10.0,5.0,3.0,6.0,3.0,4.0,6.0
schermen,12.0,6.0,4.0,6.0,6.0,16.0,7.0,6.0,5.0,9.0,8.0,7.0,5.0,5.0,6.0,20.0,8.0,4.0,9.0,6.0,6.0,9.0,6.0,6.0,8.0,7.0,6.0,5.0,4.0,6.0
skiën,6.0,6.0,4.0,4.0,4.0,3.0,6.0,5.0,8.0,8.0,5.0,4.0,8.0,9.0,5.0,8.0,20.0,3.0,3.0,5.0,5.0,5.0,7.0,8.0,5.0,5.0,8.0,5.0,9.0,9.0
sportvissen,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,20.0,3.0,6.0,5.0,3.0,2.0,5.0,3.0,4.0,8.0,7.0,9.0,9.0
squash,9.0,4.0,9.0,5.0,4.0,7.0,9.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,9.0,3.0,3.0,20.0,6.0,10.0,18.0,4.0,8.0,8.0,6.0,4.0,3.0,4.0,3.0
surfen,4.0,3.0,6.0,9.0,5.0,4.0,4.0,5.0,6.0,9.0,3.0,7.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,20.0,6.0,4.0,5.0,6.0,6.0,4.0,9.0,5.0,15.0,12.0
tafeltennis,12.0,6.0,4.0,5.0,7.0,6.0,6.0,10.0,5.0,4.0,6.0,6.0,4.0,3.0,6.0,6.0,5.0,5.0,10.0,6.0,20.0,15.0,6.0,10.0,4.0,5.0,6.0,6.0,5.0,4.0
tennis,15.0,6.0,6.0,7.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,10.0,6.0,8.0,6.0,9.0,5.0,3.0,18.0,4.0,15.0,20.0,6.0,9.0,6.0,6.0,6.0,8.0,7.0,4.0
turnen,6.0,18.0,4.0,9.0,6.0,6.0,6.0,4.0,4.0,4.0,7.0,6.0,6.0,6.0,3.0,6.0,7.0,2.0,4.0,5.0,6.0,6.0,20.0,8.0,3.0,7.0,5.0,5.0,6.0,6.0
verspringen,7.0,10.0,8.0,8.0,4.0,7.0,8.0,6.0,8.0,6.0,7.0,6.0,8.0,8.0,10.0,6.0,8.0,5.0,8.0,6.0,10.0,9.0,8.0,20.0,8.0,8.0,10.0,6.0,6.0,8.0
voetbal,5.0,1.0,8.0,8.0,8.0,10.0,5.0,9.0,12.0,6.0,6.0,8.0,4.0,15.0,5.0,8.0,5.0,3.0,8.0,6.0,4.0,6.0,3.0,8.0,20.0,6.0,6.0,4.0,4.0,6.0
volleybal,7.0,5.0,9.0,11.0,3.0,10.0,5.0,12.0,4.0,4.0,5.0,8.0,5.0,9.0,3.0,7.0,5.0,4.0,6.0,4.0,5.0,6.0,7.0,8.0,6.0,20.0,6.0,6.0,4.0,3.0
wandelen,6.0,6.0,7.0,6.0,5.0,5.0,9.0,6.0,10.0,6.0,6.0,5.0,10.0,6.0,6.0,6.0,8.0,8.0,4.0,9.0,6.0,6.0,5.0,10.0,6.0,6.0,20.0,9.0,9.0,8.0
wielrennen,6.0,5.0,4.0,8.0,4.0,5.0,6.0,6.0,7.0,6.0,3.0,3.0,8.0,4.0,3.0,5.0,5.0,7.0,3.0,5.0,6.0,8.0,5.0,6.0,4.0,6.0,9.0,20.0,5.0,5.0
zeilen,5.0,3.0,5.0,6.0,4.0,3.0,8.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,9.0,9.0,4.0,15.0,5.0,7.0,6.0,6.0,4.0,4.0,9.0,5.0,20.0,8.0
zwemmen,5.0,5.0,4.0,6.0,5.0,4.0,7.0,3.0,7.0,8.0,8.0,6.0,3.0,3.0,6.0,6.0,9.0,9.0,3.0,12.0,4.0,4.0,6.0,8.0,6.0,3.0,8.0,5.0,8.0,20.0
