exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
skiing,6.0,5.0,4.0,4.0,3.0,4.0,6.0,6.0,5.0,5.0,6.0,7.0,3.0,6.0,5.0,4.0,4.0,6.0,8.0,7.0,20.0,5.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0
soccer,5.0,6.0,8.0,8.0,6.0,5.0,4.0,5.0,3.0,7.0,6.0,6.0,4.0,6.0,6.0,5.0,10.0,8.0,5.0,6.0,5.0,20.0,5.0,4.0,6.0,4.0,6.0,7.0,7.0,7.0
sport fishing,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,5.0,6.0,3.0,5.0,6.0,5.0,8.0,5.0,5.0,5.0,20.0,6.0,9.0,10.0,5.0,4.0,4.0,6.0
squash,12.0,4.0,9.0,5.0,7.0,4.0,4.0,4.0,7.0,8.0,7.0,9.0,4.0,8.0,5.0,5.0,7.0,6.0,5.0,7.0,6.0,4.0,6.0,20.0,5.0,6.0,9.0,14.0,6.0,5.0
surfing,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,7.0,4.0,5.0,3.0,6.0,5.0,3.0,6.0,6.0,9.0,5.0,20.0,14.0,5.0,5.0,6.0,6.0
swimming,5.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,7.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,12.0,6.0,5.0,4.0,10.0,6.0,14.0,20.0,5.0,6.0,5.0,5.0
table tennis,10.0,6.0,7.0,6.0,9.0,6.0,6.0,5.0,4.0,9.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,7.0,7.0,6.0,5.0,6.0,5.0,9.0,5.0,5.0,20.0,15.0,8.0,5.0
tennis,16.0,4.0,7.0,8.0,5.0,5.0,4.0,6.0,6.0,9.0,6.0,7.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,7.0,7.0,4.0,14.0,5.0,6.0,15.0,20.0,5.0,6.0
volleyball,9.0,5.0,6.0,7.0,7.0,5.0,4.0,6.0,6.0,7.0,5.0,7.0,6.0,7.0,6.0,5.0,8.0,6.0,3.0,4.0,5.0,7.0,4.0,6.0,6.0,5.0,8.0,5.0,20.0,7.0
walking,5.0,6.0,8.0,6.0,6.0,5.0,6.0,6.0,8.0,9.0,8.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,20.0
